INFO:root:File download successful
INFO:root:Creating folder
INFO:root:Bhavdata file copied from the dowloads folder
INFO:root:Create record 281 :Symbol-BTML, Date-2020-11-12, Series-SM
INFO:root:Create record 282 :Symbol-BURNPUR, Date-2020-11-12, Series-EQ
INFO:root:Create record 283 :Symbol-BUTTERFLY, Date-2020-11-12, Series-EQ
INFO:root:Create record 284 :Symbol-BVCL, Date-2020-11-12, Series-BE
INFO:root:Create record 285 :Symbol-BYKE, Date-2020-11-12, Series-EQ
INFO:root:Create record 286 :Symbol-CADILAHC, Date-2020-11-12, Series-EQ
INFO:root:Create record 287 :Symbol-CADSYS, Date-2020-11-12, Series-SM
INFO:root:Create record 288 :Symbol-CALSOFT, Date-2020-11-12, Series-EQ
INFO:root:Create record 289 :Symbol-CAMLINFINE, Date-2020-11-12, Series-EQ
INFO:root:Create record 290 :Symbol-CAMS, Date-2020-11-12, Series-EQ
INFO:root:Create record 291 :Symbol-CANBK, Date-2020-11-12, Series-EQ
INFO:root:Create record 292 :Symbol-CANDC, Date-2020-11-12, Series-BZ
INFO:root:Create record 293 :Symbol-CANFINHOME, Date-2020-11-12, Series-EQ
INFO:root:Create record 294 :Symbol-CANTABIL, Date-2020-11-12, Series-EQ
INFO:root:Create record 295 :Symbol-CAPACITE, Date-2020-11-12, Series-EQ
INFO:root:Create record 296 :Symbol-CAPLIPOINT, Date-2020-11-12, Series-EQ
INFO:root:Create record 297 :Symbol-CAPTRUST, Date-2020-11-12, Series-EQ
INFO:root:Create record 298 :Symbol-CARBORUNIV, Date-2020-11-12, Series-EQ
INFO:root:Create record 299 :Symbol-CAREERP, Date-2020-11-12, Series-EQ
INFO:root:Create record 300 :Symbol-CARERATING, Date-2020-11-12, Series-EQ
INFO:root:Create record 301 :Symbol-CASTEXTECH, Date-2020-11-12, Series-BE
INFO:root:Create record 302 :Symbol-CASTROLIND, Date-2020-11-12, Series-EQ
INFO:root:Create record 303 :Symbol-CCCL, Date-2020-11-12, Series-BE
INFO:root:Create record 304 :Symbol-CCHHL, Date-2020-11-12, Series-EQ
INFO:root:Create record 305 :Symbol-CCL, Date-2020-11-12, Series-EQ
INFO:root:Create record 306 :Symbol-CDSL, Date-2020-11-12, Series-EQ
INFO:root:Create record 307 :Symbol-CEATLTD, Date-2020-11-12, Series-EQ
INFO:root:Create record 308 :Symbol-CEBBCO, Date-2020-11-12, Series-EQ
INFO:root:Create record 309 :Symbol-CELEBRITY, Date-2020-11-12, Series-EQ
INFO:root:Create record 310 :Symbol-CENTENKA, Date-2020-11-12, Series-EQ
INFO:root:Create record 311 :Symbol-CENTEXT, Date-2020-11-12, Series-EQ
INFO:root:Create record 312 :Symbol-CENTRALBK, Date-2020-11-12, Series-EQ
INFO:root:Create record 313 :Symbol-CENTRUM, Date-2020-11-12, Series-EQ
INFO:root:Create record 314 :Symbol-CENTUM, Date-2020-11-12, Series-EQ
INFO:root:Create record 315 :Symbol-CENTURYPLY, Date-2020-11-12, Series-EQ
INFO:root:Create record 316 :Symbol-CENTURYTEX, Date-2020-11-12, Series-EQ
INFO:root:Create record 317 :Symbol-CERA, Date-2020-11-12, Series-EQ
INFO:root:Create record 318 :Symbol-CEREBRAINT, Date-2020-11-12, Series-EQ
INFO:root:Create record 319 :Symbol-CESC, Date-2020-11-12, Series-EQ
INFO:root:Create record 320 :Symbol-CESCVENT, Date-2020-11-12, Series-EQ
INFO:root:Create record 321 :Symbol-CGCL, Date-2020-11-12, Series-EQ
INFO:root:Create record 322 :Symbol-CGPOWER, Date-2020-11-12, Series-EQ
INFO:root:Create record 323 :Symbol-CHALET, Date-2020-11-12, Series-EQ
INFO:root:Create record 324 :Symbol-CHAMBLFERT, Date-2020-11-12, Series-EQ
INFO:root:Create record 325 :Symbol-CHEMBOND, Date-2020-11-12, Series-EQ
INFO:root:Create record 326 :Symbol-CHEMCON, Date-2020-11-12, Series-EQ
