,Index,Date,Open,High,Low,Close,Shares Traded,Turnover
190,NIFTY100,20200309,10877.5,10886.3,10442.15,10583.05,2548062704,42528.38
191,NIFTY100,20200311,10476.65,10673.25,10475.1,10578.0,2227115701,39439.35
192,NIFTY100,20200312,10160.05,10160.75,9614.55,9693.95,2531991495,48213.9
193,NIFTY100,20200313,9177.3,10248.0,8642.2,10050.25,3211802047,52776.56
194,NIFTY100,20200316,9684.8,9728.1,9281.75,9316.95,2510748783,35882.43
195,NIFTY100,20200317,9395.1,9531.95,9056.35,9105.4,1917292875,34565.89
196,NIFTY100,20200318,9228.8,9265.3,8552.25,8607.95,4113890919,47452.77
197,NIFTY100,20200319,8198.2,8703.85,7964.4,8388.7,1965626432,41562.69
198,NIFTY100,20200320,8417.55,8995.35,8305.0,8852.05,2004820848,45760.73
199,NIFTY100,20200323,8057.35,8272.35,7694.2,7719.1,1228948752,28137.78
200,NIFTY100,20200324,7942.25,8133.9,7624.85,7897.4,1318518499,33330.26
201,NIFTY100,20200325,7827.5,8442.8,7815.0,8388.2,1158184925,33725.02
202,NIFTY100,20200326,8523.1,8832.25,8382.85,8732.1,1424521253,39406.13
203,NIFTY100,20200327,9032.45,9135.85,8614.35,8747.05,1309947851,38419.2
204,NIFTY100,20200330,8487.15,8683.15,8368.8,8405.3,893292409,29004.95
205,NIFTY100,20200331,8652.65,8805.95,8483.4,8731.15,1107770001,32253.83
206,NIFTY100,20200401,8722.1,8725.7,8351.75,8404.15,910933088,25488.84
207,NIFTY100,20200403,8497.75,8497.75,8213.25,8240.2,1135951449,32267.62
208,NIFTY100,20200407,8595.7,8958.95,8508.15,8934.6,1279303814,42550.8
209,NIFTY100,20200408,8842.6,9288.35,8806.85,8921.3,1451866382,46311.32
210,NIFTY100,20200409,9144.1,9300.05,9088.0,9282.85,1188555121,40931.47
211,NIFTY100,20200413,9276.2,9282.95,9080.2,9177.7,1738753990,34515.9
212,NIFTY100,20200415,9366.1,9449.35,9072.9,9128.25,1956343583,50455.2
213,NIFTY100,20200416,9057.55,9258.05,9020.55,9197.1,1470438278,38832.98
214,NIFTY100,20200417,9523.15,9523.6,9283.55,9453.5,1683221443,42323.52
215,NIFTY100,20200420,9573.75,9574.2,9416.85,9442.6,1384639426,36228.06
216,NIFTY100,20200421,9202.9,9237.4,9107.9,9175.65,1229727241,36995.76
217,NIFTY50,20190603,11953.75,12103.05,11920.1,12088.55,315296955,17451.36
218,NIFTY50,20190604,12052.65,12095.2,12005.85,12021.65,289221904,15308.28
219,NIFTY50,20190606,12039.8,12039.8,11830.25,11843.75,415206942,21144.77
220,NIFTY50,20190607,11865.2,11897.5,11769.5,11870.65,302455910,14939.4
221,NIFTY50,20190610,11934.9,11975.05,11871.75,11922.7,303329445,13125.41
222,NIFTY50,20190611,11959.85,12000.35,11904.35,11965.6,332181958,15392.28
223,NIFTY50,20190612,11962.45,11962.45,11866.35,11906.2,283718253,14120.17
224,NIFTY50,20190613,11873.9,11931.35,11817.05,11914.05,447901993,18680.91
225,NIFTY50,20190614,11910.1,11911.85,11797.7,11823.3,390294634,16226.57
226,NIFTY50,20190617,11844.0,11844.05,11657.75,11672.15,295528399,13851.67
227,NIFTY50,20190618,11677.05,11727.2,11641.15,11691.5,365525622,16120.69
228,NIFTY50,20190619,11744.45,11802.5,11625.1,11691.45,446933027,18722.71
229,NIFTY50,20190620,11653.65,11843.5,11635.05,11831.75,442016954,18839.11
230,NIFTY50,20190621,11827.6,11827.95,11705.1,11724.1,468430388,23346.13
231,NIFTY50,20190624,11725.8,11754.0,11670.2,11699.65,277620788,12631.38
232,NIFTY50,20190625,11681.0,11814.4,11651.0,11796.45,300476353,13822.83
233,NIFTY50,20190626,11768.15,11871.85,11757.55,11847.55,327885018,14650.89
234,NIFTY50,20190627,11860.85,11911.15,11821.05,11841.55,480169350,23300.3
235,NIFTY50,20190628,11861.15,11871.7,11775.5,11788.85,303888701,15191.9
236,NIFTY50,20190701,11839.9,11884.65,11830.8,11865.6,278415889,12874.96
237,NIFTY50,20190702,11890.3,11917.45,11814.7,11910.3,363197036,13615.94
238,NIFTY50,20190703,11932.15,11945.2,11887.05,11916.75,340527508,14290.33
